date,lithium,nickel,platinum,cobalt,copper,cobalt_norm,Copper_pink,Platinum_pink,Nickel_pink
2007-12-01,,26053.55555555556,1492.904761904762,72600.80609046132,6630.736111111111,160057379.3372648,6587.667,1492.9,25991.944
2008-01-01,,27774.77272727273,1583.304347826087,83037.80836854283,7078.909090909091,183067030.64451483,7061.023,1583.3,27689.545
2008-02-01,,28064.95238095238,1999.666666666667,91011.22555605305,7941.142857142857,200645406.53479663,7887.69,1999.67,27955.476
2008-03-01,,31093.05263157895,2025.190476190476,95022.91884360838,8434.315789473683,209489676.30104327,8439.289,2025.19,31225.263
2008-04-01,,28776.81818181818,1988.409090909091,92483.822551534,8714.181818181818,203891927.18117797,8684.932,1988.41,28763.182
2008-05-01,,25656.5,2052.454545454545,88923.56796808192,8356.125,196042909.39354083,8382.75,2052.45,25735.0
2008-06-01,,22562.57142857143,2039.238095238095,84657.57078170871,8292.0,186637995.4996061,8260.595,2039.24,22549.048
2008-07-01,,20106.95652173913,1904.434782608696,74009.37712961705,8407.021739130436,163162746.9120644,8414.043,1904.43,20160.217
2008-08-01,,19111.8,1485.547619047619,50482.28093745333,7633.8,111294378.46390443,7634.7,1485.55,18927.75
2008-09-01,,17781.86363636364,1223.181818181818,58288.81922675023,6975.113636363636,128504849.36038448,6990.864,1223.18,17794.545
2008-10-01,,12144.86956521739,912.5652173913044,62763.4364635863,4894.891304347826,138369691.7365552,4925.696,912.57,12139.783
2008-11-01,,10776.5,840.3,41394.16927899687,3729.1875,91258521.9285856,3717.0,840.3,10701.5
2008-12-01,,9846.928571428572,839.695652173913,27996.05651719594,3105.095238095238,61720739.46860859,3071.976,839.7,9686.429
2009-01-01,,11562.95238095238,947.4090909090908,30717.54535955163,3260.357142857143,67720595.33054356,3220.69,947.41,11306.905
2009-02-01,,10410.75,1033.25,30601.63009404391,3328.4125,67465045.91420193,3314.725,1033.25,10408.75
2009-03-01,,9710.727272727272,1081.772727272727,26494.91783034102,3770.875,58411295.16381113,3749.75,1081.77,9696.364
2009-04-01,,11331.6,1165.454545454545,29165.10876793005,4436.925,64298058.50453892,4406.55,1165.45,11166.0
2009-05-01,,12720.07894736842,1128.666666666667,29794.95447081653,4591.460526315789,65686630.58823226,4568.632,1128.67,12634.737
2009-06-01,,14944.36363636364,1217.863636363636,27447.07893986892,5015.431818181818,60510451.08376064,5013.955,1217.86,14960.455
2009-07-01,,16017.39130434783,1162.260869565217,31916.29639725593,5228.413043478261,70363388.98401493,5215.543,1162.26,15984.565
