date,lithium,nickel,platinum,cobalt,copper
2009-05-01,,12720.07894736842,1128.666666666667,29794.95447081653,4591.460526315789
2009-06-01,,14944.36363636364,1217.863636363636,27447.07893986892,5015.431818181818
2009-07-01,,16017.39130434783,1162.260869565217,31916.29639725593,5228.413043478261
2009-08-01,,19375.925,1244.571428571429,35064.367816092,6176.875
2009-09-01,,17404.63636363636,1288.704545454545,35726.74076185047,6195.75
2009-10-01,,18489.47727272727,1332.772727272727,32312.20822646528,6305.988636363636
2009-11-01,,16911.33333333333,1400.619047619048,37960.59352142108,6682.440476190476
2009-12-01,,17121.61904761905,1437.478260869565,37856.0537912862,6976.97619047619
2010-01-01,,18405.55,1557.904761904762,40702.42324725084,7367.375
2010-02-01,,19060.55,1520.35,41508.01462904912,6867.675
2010-03-01,,22467.17391304348,1599.434782608696,37414.13584117035,7466.934782608696
2010-04-01,,26028.5,1710.5,42039.98290111145,7729.8375
2010-05-01,,21930.0,1624.857142857143,40474.34561128526,6843.157894736842
2010-06-01,,19411.29545454545,1553.227272727273,38947.72727272727,6501.5
2010-07-01,,19548.52272727273,1525.590909090909,38062.5,6750.568181818182
2010-08-01,,21448.78571428571,1540.590909090909,38464.7619047619,7302.666666666667
2010-09-01,,22690.13636363636,1591.75,41186.36363636364,7729.590909090909
2010-10-01,,23793.67857142857,1688.690476190476,38897.61904761905,8289.761904761905
2010-11-01,,22836.22727272727,1692.772727272727,37104.77272727273,8458.420454545456
2010-12-01,,24099.57142857143,1711.391304347826,37616.66666666667,9152.857142857143
2011-01-01,,25621.225,1785.428571428571,39212.5,9533.2
2011-02-01,,28412.175,1825.9,39777.75,9880.9375
2011-03-01,,26710.34782608696,1770.173913043478,38264.13043478261,9503.358695652174
2011-04-01,,26332.16666666667,1797.904761904762,37023.61111111111,9482.75
2011-05-01,,24164.55,1786.545454545455,38157.5,8931.675
2011-06-01,,22420.93181818182,1768.5,36019.31818181818,9066.852272727272
2011-07-01,,23847.95238095238,1759.761904761905,35113.09523809524,9650.464285714286
2011-08-01,,21864.68181818182,1804.695652173913,35931.36363636364,8997.988636363636
2011-09-01,,20377.59090909091,1748.113636363636,34529.54545454545,8300.136363636364
2011-10-01,,19039.04761904762,1535.190476190476,30607.19047619048,7394.190476190476
2011-11-01,,17873.0,1596.977272727273,28690.90909090909,7581.022727272727
2011-12-01,,18246.0375,1454.590909090909,30808.75,7558.875
2012-01-01,,19908.61904761905,1499.318181818182,33006.66666666667,8061.916666666667
2012-02-01,,20393.66666666667,1657.761904761905,31772.61904761905,8441.488095238095
2012-03-01,,18660.80681818182,1655.409090909091,31142.72727272727,8470.784090909092
2012-04-01,,17892.81578947368,1585.809523809524,30795.65789473684,8285.526315789473
2012-05-01,,16968.31818181818,1470.695652173913,30516.81818181818,7896.909090909091
2012-06-01,63643.21697331381,16603.68421052632,1443.857142857143,28831.90789473684,7428.289473684211
